Order,Srt,Watershed,Feeds,Small.trib,mig.barrier,p.tempMC25,p.tempMC2025,p.tempW2025,p.tempW25,mc.pulsed,init.adult,prop.nat,hatch.alloc,SCDELT,YOLO,TISD,A.HARV,contact,parr,floodplain,P.scour.nst,DW.strand,Mod.pred,High.pred,TMDL.viol,no.div,unscr.div,WS.temp.early,P.strand.early,Ws.temp.late,P.strand.late
1,0,Upper Sacramento River,1,1,0,0.023,0.381,0.147,0,0.785,9251.2,0.69,0.110062102,0,1,1,0.14,33,2639810,4598200,0.18,1.14,0.61,0.3,4,95,41,10.6,0.32,11.6,0.36
2,2,Antelope Creek,1,1,1,0.023,0.381,0.35,0.05,0.827,49,0.48,0.001405676,0,1,1,0.14,14,176909,86214,0.04,7.24,0.5,0.17,0,3,1,9.9,0.15,18.8,0.03
3,3,Battle Creek,1,1,3,0.038,0.381,0.35,0.05,0.88,1801.8,0.9,0.005301408,0,1,1,0.14,18,1363903,4822,0.04,1.74,0.83,0.1,0,7,0,9.2,0.09,16.8,0.01
4,4,Bear Creek,1,1,1,0.023,0.381,0.35,0.05,1.936,49,0.48,0.001405676,0,1,1,0.14,5,220826,143817,0.04,2.35,0.5,0.17,4,8,2,9.2,0.15,16.8,0.03
5,6,Big Chico Creek,1,1,2,0.038,0.381,0.173,0,1.179,49,0.48,0.001405676,0,1,1,0.14,12,94735,7702,0.03,2.42,0.86,0.07,4,3,3,14.3,0.19,24.5,0.01
6,7,Butte Creek,1,1,1,0.038,0.381,0.024,0,1.003,1600,0.1,0.381320034,0,1,1,0.14,81,1390289,2029752,0.03,3.46,0.86,0.07,5,85,58,8.2,0.09,19.2,0.01
7,9,Clear Creek,1,1,0,0.023,0.381,0,0,1.973,1050.6,0.24,0.088098168,0,1,1,0.14,10,560625,482328,0.05,1.34,0,1,1,3,6,9.2,0.1,16.8,0.03
8,11,Cottonwood Creek,1,1,1,0.023,0.381,0.35,0.05,1.279,64,0.45,0.002071368,0,1,1,0.14,5,517560,139460,0.01,2.08,0.6,0.27,3,2,1,9.2,0.15,16.8,0.03
9,12,Cow Creek,1,1,1,0.023,0.381,0.35,0.05,3.613,61.6,0.48,0.001767136,0,1,1,0.14,50,376920,234000,0.04,4.25,0.56,0.17,0,35,0,9.2,0.23,16.8,0.05
10,13,Deer Creek,1,1,2,0.023,0.381,0.134,0,4.092,248.2,0.48,0.007120181,0,1,1,0.14,12,299758,237804,0.05,1.68,0.33,0.11,0,4,0,8.6,0.07,24.6,0.01
11,14,Elder Creek,1,1,1,0.023,0.381,0.35,0.05,1.427,49,0.345,0.002463459,0,1,1,0.14,5,30272,25024,0,7.24,0.6,0.27,7,4,0,9.9,0.19,18.8,0.04
12,17,Mill Creek,1,1,2,0.023,0.381,0.483,0.004,3.065,256.6,0.05,0.129103312,0,1,1,0.14,5,977104,281694,0.03,1.77,0.33,0.11,0,3,0,15.2,0.17,25.9,0.27
13,19,Paynes Creek,1,1,1,0.023,0.381,0.35,0.05,1.257,49,0.48,0.001405676,0,1,1,0.14,2,36465,19584,0.04,0.92,0.5,0.17,0,15,0,15.7,0.15,18.8,0.08
14,22,Stony Creek,1,1,1,0.023,0.381,0.533,0.006,1.427,49,0.345,0.002463459,0,1,1,0.14,23,480,480,0.05,7.24,0.5,0,4,4,6,9.9,0.08,16.8,0.01
15,23,Thomes Creek,1,1,1,0.023,0.381,0.35,0.05,1.348,49,0.345,0.002463459,0,1,1,0.14,7,30080,24384,0.03,1.56,0.6,0.27,0,9,0,11.9,0.15,18.8,0.02
16,25,Upper-mid Sacramento River,2,0,0,0.023,0.381,0.147,0,0.785,0,0,0,0,1,1,0,121,2639810,4598200,0.18,1.14,0.61,0.3,4,95,41,10.6,0.32,11.6,0.36
17,99,Sutter Bypass,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,Bear River,3,1,1,0.023,0.381,0.105,0.025,0.896,49,0.1,0.011677926,0,1,0,0.14,16,90102,82914,0.04,13.77,0.33,0.67,1,15,6,9.4,0.16,16,0.15
19,15,Feather River,3,0,2,0.023,0.381,0,0,0.592,8859.4,0.91,0.023202381,0,1,0,0.1,123,1635852,689050,0.2,1.65,0.28,0.72,6,60,116,9.5,0.31,19.5,0.2
20,27,Yuba River,3,0,1,0.023,0.381,0,0,0.498,3052.6,0.52,0.074616509,0,1,0,0.1,71,145878,254360,0.02,2.11,0.83,0.17,1,14,29,9.3,0.12,12.4,0.37
21,26,Lower-mid Sacramento River,4,0,0,0.023,0.381,0.5,0.5,1.703,0,0,0,0,0,0,0,352,2781639,4624910,0.01,0.64,0,1,6,441,253,15.5,0,20.8,0.22
22,99,Yolo Bypass,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,American River,5,0,0,0.023,0.381,0.083,0,0.656,10320.4,0.76,0.086201803,0,0,0,0.33,27,1264628,6112096,0.01,1.9,0.73,0.2,3,1,5,12.1,0.02,16.7,0.01
24,28,Lower Sacramento River,6,0,0,0.023,0.381,0.5,0.5,1.703,0,0,0,0,0,0,0,101,2781639,4624910,0.01,0.64,0,1,6,441,253,15.5,0,20.8,0.22
25,8,Calaveras River,7,1,1,0.073,0.501,0.35,0.02,3.852,49,0.11,0.010498338,1,0,0,0.1,179,1271225,1386458,0.05,8.8,0.33,0.5,1,145,151,15.2,0.05,21,0.01
26,10,Cosumnes River,7,1,1,0.073,0.501,0.479,0.008,4.639,53.4,0.04,0.033937483,1,0,0,0.1,39,1325565,5056717,0.02,15.84,0.5,0.33,0,16,26,15.2,0.13,21,0.01
27,18,Mokelumne River,7,1,1,0.073,0.501,0.011,0,1.427,843,0.92,0.00194114,1,0,0,0.1,170,3438070,3511880,0.04,7.24,0.5,0.33,6,97,145,9.9,0.02,21,0.3
28,16,Merced River,8,1,2,0.073,0.501,0.411,0.055,1.506,642,0.87,0.002540307,1,0,0,0.1,197,453954,486380,0.04,71.8,0.5,0.33,7,190,187,11.4,0.16,25.6,0.01
29,21,Stanislaus River,8,0,0,0.073,0.501,0.284,0,1.936,510.4,0.83,0.002768271,1,0,0,0.1,109,591731,2349399,0.04,2.35,0.17,0.83,5,44,85,9.2,0.04,18.9,0.5
30,24,Tuolumne River,8,1,1,0.073,0.501,0,0,1.042,667.6,0.545,0.014759048,1,0,0,0.1,126,860428,630428,0.05,1.41,0.33,0.34,6,96,111,11.1,0.32,15.4,0.04
31,20,San Joaquin River,9,0,1,0.073,0.501,0.501,0.007,1.039,0,0,0,0,0,0,0,220,0,0,0.01,0.8,0.17,0.83,8,378,193,12.5,0.5,24,0.03
