date,MidSac at WilkinsSlough, Sutter Bypass,Sutter Bypass as a percent of Sacramento,Low sac at SacAmerican,YoloBypass,Yolo as a percent of Sacramento,LowSJ at Merced,UpSac atRedBluff,UpSJ at LanderAve
10/1/1921,5000,0,0,10511,19.59,0.19%,204.1,6979,0
11/1/1921,5000,0,0,10257,212.3,2.07%,1058,5529,294.6
12/1/1921,5000,0,0,11674,194.9,1.67%,506.9,4812,88
1/1/1922,6300,0,0,15304,78.21,0.51%,400.3,5153,61.48
2/1/1922,12654,0,0,28713,1984,6.91%,897.2,8628,429.4
3/1/1922,10911,0,0,23930,36.12,0.15%,1259,10117,966.4
4/1/1922,10424,0,0,25187,1519,6.03%,2749,9452,1864
5/1/1922,12296,0,0,20957,116.4,0.56%,625.3,16025,448.4
6/1/1922,8140,0,0,12765,771.8,6.05%,711.8,16931,832.6
7/1/1922,5548,0,0,11559,987.8,8.55%,1137,12318,1290
8/1/1922,3473,0,0,10125,1107,10.93%,1117,8548,1247
9/1/1922,4145,0,0,7028,815.8,11.61%,1297,5725,1331
10/1/1922,3846,0,0,8739,570.7,6.53%,1056,5350,626.8
11/1/1922,11181,0,0,27269,1058,3.88%,1906,8270,944.1
12/1/1922,9770,0,0,21389,55.85,0.26%,737,7007,339.3
1/1/1923,10595,0,0,20935,91.14,0.44%,422.9,7205,80.93
2/1/1923,44414,0,0,73540,15938,21.67%,1740,32438,1217
3/1/1923,26547,0,0,52798,2110,4.00%,2012,21229,1457
4/1/1923,13715,0,0,28707,314.5,1.10%,4137,12959,3691
5/1/1923,8032,0,0,20170,284.3,1.41%,2067,11144,530.4
6/1/1923,5261,0,0,17409,748.8,4.30%,3076,12910,2918
7/1/1923,9137,0,0,20687,900.1,4.35%,890.1,15691,1048
8/1/1923,5378,0,0,14918,1280,8.58%,1552,10338,1505
9/1/1923,4480,0,0,8569,1181,13.78%,1521,6387,1210
10/1/1923,4481,0,0,12749,383.2,3.01%,1085,6332,646.8
11/1/1923,6363,0,0,18828,618.6,3.29%,2024,5134,980.4
12/1/1923,8231,0,0,21042,61,0.29%,872.5,6147,89.89
1/1/1924,7522,0,0,18382,123,0.67%,1192,5670,221.5
2/1/1924,8069,0,0,19569,132.8,0.68%,1336,6182,500.6
3/1/1924,22541,0,0,48253,1927,3.99%,1748,18766,963.1
4/1/1924,14050,0,0,23027,343.6,1.49%,3963,12273,3564
5/1/1924,9471,0,0,19236,364.6,1.90%,1848,13500,1219
6/1/1924,7222,0,0,15441,849.1,5.50%,705.5,14692,787.1
7/1/1924,10596,0,0,17052,1023,6.00%,978,16932,1130
8/1/1924,3874,0,0,8026,1259,15.69%,1231,8788,1316
