clmn_names,row1,Jim_Keep
Date_time,Part B:,Date_time
AMERICAN,ABV CONFLUENCE,
AMERICAN.1,BLW FOLSOM DAM,
AMERICAN.2,BLW NIMBUS(HAZEL AVE),
AMERICAN.3,WATT AVE,AMERICAN.A
AMERICAN.4,WILLIAM POND PARK,AMERICAN.B
CLEAR.CREEK,ABV SACRAMENTO,CLEAR.CREEK.A
CLEAR.CREEK.1,CLEAR_CR_TUNNEL,
CLEAR.CREEK.2,IGO,CLEAR.CREEK.B
CLEAR.CREEK.3,SPRING_CR_TUNNEL,
CLEAR.CREEK.4,WHISKEYTOWN,
INFLOW_TEMP,BATTLE CR,BATTLE CR
INFLOW_TEMP.1,BUTTE CR,BUTTE CR
INFLOW_TEMP.2,COLUSA DRAIN,
INFLOW_TEMP.3,COTTONWOOD CR,COTTONWOOD CR
INFLOW_TEMP.4,COW CR,COW CR
INFLOW_TEMP.5,SAC AT DELTA,
INFLOW_TEMP.6,SHASTA FLOW-WT,
INFLOW_TEMP.7,STONY CR,STONY CR
INFLOW_TEMP.8,THOMES CR,THOMES CR
INFLOW_TEMP.9,TRINITY,
SACRAMENTO,BALLS FERRY,
SACRAMENTO.1,BEND BRIDGE,UP.MID.SAC.A
SACRAMENTO.2,BLW CLEAR CREEK,UPPER.SAC.A
SACRAMENTO.3,BLW KESWICK,
SACRAMENTO.4,BLW SHASTA,
SACRAMENTO.5,BUTTE_CITY,UP.MID.SAC.B
SACRAMENTO.6,COLUSA WEIR,
SACRAMENTO.7,COTTONWOOD CR,COTTONWOOD CR
SACRAMENTO.8,COW CREEK,COW CREEK
SACRAMENTO.9,GCID,
SACRAMENTO.10,HAMILTON CITY,
SACRAMENTO.11,JELLYS FERRY,UPPER.SAC.B
SACRAMENTO.12,KNIGHTS LDG,LOW.MID.SAC
SACRAMENTO.13,MOULTIN WEIR,
SACRAMENTO.14,RED BLUFF DAM,
SACRAMENTO.15,RED_BLUFF,RED_BLUFF
SACRAMENTO.16,STONY CREEK,STONY CREEK
SACRAMENTO.17,TCID,
SACRAMENTO.18,TISDALE WEIR,
SACRAMENTO.19,WOODSON BRIDGE,
TRINITY,ABV LEWISTON,
TRINITY.1,BLW LEWISTON,
TRINITY.2,BLW TINITY DAM,
TRINITY.SAC,CRAMER_RCH_1,
TRINITY.SAC.1,CRAMER_RCH_10,
TRINITY.SAC.2,CRAMER_RCH_11,
TRINITY.SAC.3,CRAMER_RCH_12,
TRINITY.SAC.4,CRAMER_RCH_13,
TRINITY.SAC.5,CRAMER_RCH_14,
TRINITY.SAC.6,CRAMER_RCH_15,
TRINITY.SAC.7,CRAMER_RCH_16,
TRINITY.SAC.8,CRAMER_RCH_17,
TRINITY.SAC.9,CRAMER_RCH_18,
TRINITY.SAC.10,CRAMER_RCH_19,
TRINITY.SAC.11,CRAMER_RCH_2,
