Date,American River,Antelope Creek,Battle Creek,Bear Creek,Bear River,Big Chico Creek,Butte Creek,Calaveras River,Clear Creek,Cosumnes River,Cottonwood Creek,Cow Creek,Deer Creek,Elder Creek,Feather River,Merced River,Mill Creek,Mokelumne River,Paynes Creek,Sacramento River (Upper),Sacramento River (Upper Mid),Sacramento River (Lower),San Joaquin River,Stanislaus River,Stony Creek,Thomes Creek,Tuolumne River,Yuba River,Yolo Bypass,Sutter Bypass
1/31/1970,7605,179.6568242,594.7054404,140.5881705,482.0184189,125.3888936,267.3876696,1011,200,435.3988275,1063.275056,801.4839627,448.2584039,120.2785138,20031,1630,380.9321717,6890,80.9924151,43913,54724,73445,1649,386.5,419.2923365,370.655605,3360,7889,0,0
2/28/1970,5266,240.2572228,795.3067084,188.0102443,833.1133263,175.0979235,373.3905322,147.7,200,404.0028023,1421.930467,1071.834103,599.4613324,160.8498971,7303,1264.6,509.4251557,2291,108.3121268,17820,23742,44549,1446.55,2057,585.5161119,495.68218,3450,4404,0,0
3/31/1970,11910,133.513156,441.9592774,104.4790278,655.3184537,106.9074365,227.9765734,384,200,274.6210487,790.1798831,595.6281025,333.1261946,89.38577222,25399,925.5,283.0922603,1780,60.19004842,45195,54424,74161,2341.5,2184,357.4915413,275.4551619,4837,9879,0,0
4/30/1970,5318,86.77706348,287.2520539,67.90629105,740.7000721,101.7254817,216.9262261,4.457,200,207.6794534,513.5785262,387.1293228,216.5158386,58.09640835,10003,373.3,183.9962127,816,39.12060661,19372,23307,46716,4164,1614,340.1634201,179.0324698,1080,4754,0,0
5/31/1970,6725,65.94820221,218.3037288,51.60692969,380.7911709,83.23566319,177.4972996,5.596,277.4,62.53510254,390.3056768,294.20773,164.5461339,44.15168631,5424,358.2,139.8321049,836,29.73059437,9778,9261,30991,2045.1,2019,278.3346651,136.0597956,1007,8688,0,0
6/30/1970,4011,34.31855857,113.6023281,26.85555299,46.86822934,54.74577967,116.743565,10.94,200,83.49488216,203.1098314,153.1017507,85.62759779,22.97594448,4601,331.1,72.76674905,547,15.47140195,15053,7928,18055,857.35,1111,183.0663404,70.80368999,250,2339,0,0
7/31/1970,2270,24.29462583,80.42080348,19.01145149,0.244168281,47.40016684,101.0792885,12.54,85,11.26058482,143.7845167,108.3830412,60.61706949,16.26501804,6922,257.6,51.51268046,183,10.95243907,11123,6804,18504,1182,346.3,158.503087,50.12300131,250,1202,0,0
8/31/1970,1818,25.25486522,83.59941687,19.76287465,75.24513726,56.28098169,120.0173325,12.42,85,37.29418341,149.4675659,112.6668555,63.01294494,16.90788906,7968,223.3,53.54870707,170,11.38533165,9816,5191,15553,1414.5,357.7,188.1999564,52.10410117,250,600,0,0
9/30/1970,1260,29.1738182,96.57205327,22.82960164,17.49377071,39.65076842,84.5539526,14.98,150,74.76724853,172.6613687,130.1500654,72.7910517,19.53159035,1000,149,61.85818975,172,13.15206368,5856,4594,9090,1385,785,132.5896007,60.18941546,250,500,0,0
10/31/1970,1478,39.24981823,129.9259326,30.71444774,162.5109124,34.87551537,74.37088337,8.722,200,116.1596233,232.2948368,175.1010572,97.93149214,26.27737534,1999,381.2,83.22265831,199,17.69449941,4841,4594,10236,1139.3,804.5,116.6214639,80.9775258,396.8,500,0,0
11/30/1970,3825,115.6742973,382.9085491,90.51945507,367.2603031,92.3721745,196.9806078,739.7,200,392.5246579,684.6029669,516.0454915,288.6167897,77.44282811,1700,375.3,245.2679516,905,52.14798125,5140,5630,13542,1188.3,200,308.886567,238.6512554,300,674.3,0,0
12/31/1970,1762,151.6749787,502.0790909,118.691332,451.51415,119.6747635,255.2024761,182.9,200,368.7276906,897.6682187,676.6515186,378.4414209,101.5449376,1700,359.3,321.60136,1916,68.37771337,6835,8521,18022,674.5,200.2,400.1846557,312.9253855,321.5,696.9,0,0
1/31/1971,1454,199.9247043,661.7967886,156.4485431,689.7981182,128.8017118,274.6653917,7.158,200,396.1705535,1183.227812,891.9029095,498.8284148,133.8476643,1700,765.2,423.906813,1879,90.12952727,4934,6710,12327,513.2,596.5,430.7045796,412.4709013,1295,675,0,0
2/28/1971,4264,129.8101898,429.701607,101.5813186,672.3997002,80.97940308,172.6858995,431.9,200,251.8568996,768.2643693,579.1084516,323.8869924,86.90667201,2493,791.4,275.2407414,1139,58.52068698,11415,17108,36423,1208.15,1067,270.7898774,267.8154566,1610,1835,0,0
3/31/1971,5110,97.97078772,324.3058576,76.66579807,538.7599289,97.3645619,207.6267089,1231,200,137.976378,579.8270966,437.0666993,244.445092,65.59049894,10002,333.3,207.730628,1511,44.16693182,43273,52546,70959,1847.5,1766,325.580787,202.1265919,5377,5259,0,0
4/30/1971,2807,66.25656825,219.3244914,51.84823763,392.8729524,70.1240371,149.5371905,4.491,200,121.7078411,392.1307003,295.5834108,165.3155323,44.3581344,9808,308.3,140.4859434,1284,29.86961114,18566,22948,43211,4476.5,2447,234.4902369,136.6959952,1189,4618,0,0
5/31/1971,9351,33.49356116,110.8713968,26.20996174,104.8318037,38.55745245,82.22249246,4.216,277.4,14.73318186,198.2271938,149.4212772,83.5691621,22.42361666,8219,345.3,71.01748039,1301,15.0994788,7056,5523,31597,2185.9,2249,128.933623,69.10161208,1007,7906,0,0
6/30/1971,3104,21.30444167,70.52260565,16.67152078,15.30136607,43.54001592,92.8476443,11.11,200,73.77814838,126.0875088,95.04324931,53.15631655,14.26311854,4676,315.8,45.17249633,764,9.604412139,13473,6549,17849,1942.2,1146,145.5949924,43.95385898,1315,4071,0,0
7/31/1971,1535,17.70932289,58.62193497,13.85820615,0.25635775,42.2235216,90.04026371,13.01,85,66.03691752,104.8102757,79.00472663,44.18620247,11.85622114,10488,257.4,37.54964976,346,7.983670181,9396,4848,19015,1528,477.4,141.1927207,36.53665713,250,1702,0,0
8/31/1971,1547,25.51675252,84.46632413,19.96781124,84.62601007,28.67536096,61.14925911,13.77,85,69.40505764,151.0175112,113.8351856,63.66637508,17.08322009,5797,189.5,54.10399519,322,11.50339499,8497,4522,12916,1568,452.7,95.88854925,52.64440905,250,686.7,0,0
9/30/1971,1521,43.30306376,143.3431083,33.88626365,102.085003,44.72916152,95.38345797,14.35,150,199.6188429,256.2834322,193.1833722,108.0446698,28.99098419,1000,102.8,91.81688584,322,19.52177286,5984,4522,9130,1427.5,1173,149.5714182,89.33990325,250,515.1,0,0
10/31/1971,2895,131.2114027,434.3399442,102.67782,464.4492443,106.8543225,227.8633096,19.83,200,433.453214,776.5572618,585.3595343,327.3831327,87.84477055,1700,358.6,278.2117784,204,59.15237807,6035,6471,15536,1248.5,847,357.3139315,270.7063427,828.4,694.7,0,0
11/30/1971,3798,177.4243473,587.315428,138.841174,428.3513701,161.3334699,344.0382901,852.3,200,307.982875,1050.062438,791.52445,442.6881923,118.783892,1700,386.2,376.1985788,378,79.98597576,5948,6912,14552,1352.9,300,539.488671,366.0497122,496.7,851.8,0,0
12/31/1971,1739,595.548079,1971.401221,466.0386002,2555.325239,690.2435448,1471.921536,21.18,200,1687.265001,3524.672217,2656.855571,1485.940946,398.7137039,1700,423.2,1262.759843,730,268.4834124,4465,5838,11991,477.5,317.4,2308.129695,1228.693841,1654,1118,0,0
1/31/1972,1439,640.817012,2121.251809,501.46323,2208.18481,699.6558744,1491.993018,4.529,200,2870.32011,3792.590385,2858.809068,1598.890619,429.0208186,1700,270,1358.745025,509,288.8914332,4085,4713,9365,343.95,379.4,2339.603915,1322.089591,1593,653.5,0,0
2/29/1972,1181,315.6993908,1045.037649,247.0465566,730.15753,297.7638501,634.9715647,5.631,200,882.9530126,1868.424919,1408.396257,787.6956838,211.357702,1700,487.9,669.3876231,799,142.3227657,4600,6583,12148,617.8,364.3,995.7030232,651.3292728,801.8,865,0,0
3/31/1972,1300,128.0053935,423.7273158,100.1689981,881.4585683,90.27300413,192.5041964,25.09,200,522.3857356,757.5829221,571.056905,319.3838787,85.69837826,1700,267.4,271.4139735,1013,57.70705347,8116,9809,16291,519.4,200.1,301.8670772,264.091925,300,1233,0,0
4/30/1972,1257,61.57837934,203.8386093,48.18738019,696.7192216,72.67400785,154.9749188,6.332,200,215.9561555,364.4434605,274.713102,153.6430701,41.22613198,2555,305.9,130.5666282,840,27.76060237,5861,7497,14365,285.9,1636,243.0171739,127.0442776,341.3,1323,0,0
5/31/1972,718.6,39.27904851,130.0226916,30.73732151,92.81356197,53.58362845,114.2653159,9.387,277.4,50.29131064,232.4678323,175.2314591,98.00442407,26.29694473,1855,291.8,83.28463622,528,17.70767693,6676,4095,7740,568.45,1506,179.180182,81.03783171,323.5,2000,0,0
6/30/1972,188,26.08390628,86.34373362,20.41163023,17.54423785,40.46806058,86.29680111,14.22,200,61.52991362,154.3741354,116.3653686,65.0814699,17.46292407,2058,285,55.30654964,247,11.75907775,10814,5428,8196,702.4,410.3,135.3225727,53.81452169,50,1500,0,0
7/31/1972,188,22.89391447,75.78412645,17.91534256,0.243809136,38.88155233,82.91362472,13.22,85,89.95746312,135.4945924,102.1341959,57.12218058,15.32725527,5375,241.9,48.54270687,11,10.32097407,12803,8475,14814,882.2,313.7,130.0173919,47.23314994,50,700,0,0
8/31/1972,188,24.18770663,80.06687631,18.92778323,42.07915592,46.04508968,98.18963127,13.52,85,46.9858568,143.1517296,107.9060539,60.35029737,16.19343667,1717,222.9,51.28597622,10,10.90423803,5972,4095,7086,986.7,319.2,153.9717967,49.90241296,50,600,0,0
9/30/1972,281,40.14679546,132.8951337,31.4163659,123.9105549,46.74625422,99.68484146,11.65,150,112.2806888,237.6034774,179.1026467,100.1695234,26.87789295,5160,17,85.12454813,11,18.09887232,4793,4095,11702,1175.5,278.5,156.3164455,82.82810755,50,500,0,0
10/31/1972,457,314.1053722,1039.761081,245.7991776,1135.902253,249.0545421,531.1005761,8.72,200,1111.927207,1858.990932,1401.285031,783.7184777,210.2905219,2997,306.3,666.007774,149,141.6041545,5790,4929,9351,557.3,779.2,832.8222532,648.0406033,126,403.7,0,0
11/30/1972,456.5,657.1981275,2175.477071,514.2820641,1855.65847,600.639312,1280.843473,5.374,200,2602.734533,3889.539841,2931.888403,1639.762836,439.9878176,1700,411.9,1393.478433,317,296.2763244,4176,4107,6964,676.05,200,2008.498945,1355.885982,150,114.7,0,0
12/31/1972,500,814.0362952,2694.647506,637.0137842,1925.627583,812.1023312,1731.781369,13.58,200,1841.428734,4817.765709,3631.57391,2031.086834,544.9894606,1518,431.8,1726.02747,462,366.981693,3627,4280,7474,367.85,200,2715.617581,1679.463704,159.7,434.3,0,0
